epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,7050.83,1.37513,0.85849,0.89557,0.85485,0.68654,0.76557,0.56348,1.35639,0.80495,0.90895,9.90192e-05,9.90192e-05,9.90192e-05
170,7091.48,1.33853,0.83945,0.89324,0.83858,0.69564,0.76235,0.56643,1.34358,0.80788,0.90608,9.61086e-05,9.61086e-05,9.61086e-05
171,7133.48,1.36417,0.85547,0.89328,0.81795,0.70118,0.76068,0.56639,1.3322,0.80042,0.90438,9.3198e-05,9.3198e-05,9.3198e-05
172,7173.53,1.37954,0.86075,0.8947,0.85019,0.69546,0.76556,0.56869,1.33178,0.80245,0.90333,9.02874e-05,9.02874e-05,9.02874e-05
173,7213.23,1.37586,0.85228,0.89375,0.83682,0.70053,0.76848,0.56929,1.33219,0.79674,0.90431,8.73768e-05,8.73768e-05,8.73768e-05
174,7254.58,1.37563,0.85846,0.89544,0.87215,0.69474,0.77133,0.57421,1.32558,0.7959,0.90252,8.44662e-05,8.44662e-05,8.44662e-05
175,7296.14,1.36114,0.84356,0.89356,0.85992,0.69438,0.76928,0.57161,1.33572,0.79529,0.90532,8.15556e-05,8.15556e-05,8.15556e-05
176,7336.68,1.36387,0.85352,0.8929,0.86702,0.68616,0.76741,0.5674,1.33245,0.79942,0.90533,7.8645e-05,7.8645e-05,7.8645e-05
177,7376.29,1.3588,0.8503,0.89025,0.85974,0.68752,0.76679,0.57259,1.32916,0.79313,0.90275,7.57344e-05,7.57344e-05,7.57344e-05
178,7417.72,1.38397,0.8559,0.89497,0.87133,0.68283,0.76631,0.56686,1.33737,0.7944,0.90556,7.28238e-05,7.28238e-05,7.28238e-05
